track_name,artists_names,principal_artist_name,artist_genres,popularity,year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_min,genre_label,cluster
Whoever's In New England,Reba McEntire,Reba McEntire,classic oklahoma country;contemporary country;country;country dawn;country road,49,1986,0.591,0.174,0.151,0.545,4.54e-06,0.0317,75.019,-17.425,3.388216666666667,Country,0
40 Hour Week (For A Livin'),Alabama,Alabama,contemporary country;country;country road;country rock,47,1986,0.578,0.44,0.439,0.123,0.0,0.111,85.213,-14.644,3.350433333333333,Country,0
I'll Still Be Loving You,Restless Heart,Restless Heart,classic country pop;country;country road,49,1986,0.539,0.209,0.259,0.704,0.0,0.0297,168.758,-16.902,4.313316666666666,Country,0
Hillbilly Highway,Steve Earle,Steve Earle,alternative country;classic texas country;country rock;folk;heartland rock;outlaw country;roots rock;singer-songwriter,48,1986,0.595,0.546,0.879,0.164,1.54e-06,0.0284,167.064,-12.951,3.639333333333334,Country,0
Do Me Baby,Meli'sa Morgan,Meli'sa Morgan,contemporary r&b;new jack swing;post-disco;quiet storm;urban contemporary,47,1986,0.761,0.335,0.64,0.503,0.0,0.0362,125.359,-14.09,5.29,R&B,0
Control,Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,46,1986,0.785,0.786,0.638,0.28,0.236,0.0501,120.404,-12.487,5.888433333333333,R&B,1
Stand On It,Mel McDaniel,Mel McDaniel,classic country pop;classic oklahoma country;country,49,1986,0.614,0.837,0.952,0.0723,0.0,0.0369,168.347,-7.234,2.646,Country,2
"Looking for the Perfect Beat - Original 12"" Version",Afrika Bambaataa;The Soulsonic Force,Afrika Bambaataa,bronx hip hop;east coast hip hop;old school hip hop,47,1986,0.821,0.908,0.77,0.0432,0.00398,0.0666,119.562,-11.392,7.04155,Hip Hop,1
Time To Get Ill,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,47,1986,0.874,0.608,0.392,0.00136,2.03e-05,0.333,97.806,-9.763,3.65955,Hip Hop,1
Send For Me,Atlantic Starr,Atlantic Starr,contemporary r&b;new jack swing;quiet storm;urban contemporary,46,1986,0.627,0.244,0.332,0.275,0.0,0.0337,134.962,-16.546,5.498883333333334,R&B,0
Why Does It Have to Be (Wrong or Right),Restless Heart,Restless Heart,classic country pop;country;country road,47,1986,0.756,0.448,0.82,0.23,0.0,0.0282,88.945,-13.605,3.013333333333333,Country,0
